function,taylor_expansion
3*x**2 - sqrt(x + 1) + 2*exp(x) + sin(2*x)/3,47*x**4/384 - 25*x**3/144 + 33*x**2/8 + 13*x/6 + 1
x*sin(x) + sin(x)**2 + 3*exp(-x),-3*x**4/8 - x**3/2 + 7*x**2/2 - 3*x + 3
3*exp(x) - cos(x),x**4/12 + x**3/2 + 2*x**2 + 3*x + 2
x - 2*cosh(x) - 1/(x + 1),-13*x**4/12 + x**3 - 2*x**2 + 2*x - 3
3*x + sqrt(x + 1) + exp(x)/3,-29*x**4/1152 + 17*x**3/144 + x**2/24 + 23*x/6 + 4/3
3*x**2 + 2*exp(-x),x**4/12 - x**3/3 + 4*x**2 - 2*x + 2
2*cos(x)**2 + tanh(x) + 1/(x + 1),5*x**4/3 - 4*x**3/3 - x**2 + 3
2*x*cos(x) + log(x + 1) + cosh(x)/2,-11*x**4/48 - 2*x**3/3 - x**2/4 + 3*x + 1/2
3*x**3 - 2*tan(x) + 3*exp(-x) + 1/(x + 1),9*x**4/8 + 5*x**3/6 + 5*x**2/2 - 6*x + 4
-3*x*sin(x) + 2*sinh(x) + 1/(x + 1),3*x**4/2 - 2*x**3/3 - 2*x**2 + x + 1
-exp(x) + 2*sin(x) + 3*cos(2*x) + cosh(x)/2,95*x**4/48 - x**3/2 - 25*x**2/4 + x + 5/2
x*cos(x)/2 - 3*sqrt(x + 1),15*x**4/128 - 7*x**3/16 + 3*x**2/8 - x - 3
3*x*sin(x) + 2*x*cos(x) + exp(x) + 3*tan(x),-11*x**4/24 + x**3/6 + 7*x**2/2 + 6*x + 1
x*sin(x)/2 + sin(2*x) - 3*cos(x) + 2*tan(x),-5*x**4/24 - 2*x**3/3 + 2*x**2 + 4*x - 3
2*x*cos(x) - log(x + 1) - 2*sinh(x),x**4/4 - 5*x**3/3 + x**2/2 - x
x**3/2 - cos(x)**2,-x**4/3 + x**3/2 + x**2 - 1
-x**2 + 2*x - cos(2*x),-2*x**4/3 + x**2 + 2*x - 1
3*x*sin(x) + 2*sqrt(x + 1) - 3*cos(x) + sinh(x),-45*x**4/64 + 7*x**3/24 + 17*x**2/4 + 2*x - 1
cos(x)**2/2 + 1/(3*(x + 1)),x**4/2 - x**3/3 - x**2/6 - x/3 + 5/6
3*x*sin(x) - 3*sqrt(x + 1) - cos(x)**2,-275*x**4/384 - 3*x**3/16 + 35*x**2/8 - 3*x/2 - 4
cos(2*x)/2 + cosh(x),3*x**4/8 - x**2/2 + 3/2
sin(x)**2/2 + 2*cos(x)**2 + cos(x)/2 - 2*cosh(x),7*x**4/16 - 11*x**2/4 + 1/2
-3*x*cos(x) - 3*cosh(x),-x**4/8 + 3*x**3/2 - 3*x**2/2 - 3*x - 3
2*x*cos(x) + sin(x)/3 - 2*sinh(x) - 3*cosh(x),-x**4/8 - 25*x**3/18 - 3*x**2/2 + x/3 - 3
x**3 + tan(x)/2 - 3*cosh(x),-x**4/8 + 7*x**3/6 - 3*x**2/2 + x/2 - 3
x**2 - x*sin(x) - cosh(x) + tanh(x),x**4/8 - x**3/3 - x**2/2 + x - 1
exp(x)/2 + log(x + 1)/2 + sin(x)/3 + tan(x),-5*x**4/48 + 19*x**3/36 + 7*x/3 + 1/2
sin(x)**2/3 - 3*cos(2*x) + 3*tan(x),-19*x**4/9 + x**3 + 19*x**2/3 + 3*x - 3
sqrt(x + 1)/2 - 2*sin(x) + 3/(x + 1),763*x**4/256 - 253*x**3/96 + 47*x**2/16 - 19*x/4 + 7/2
-2*log(x + 1) + cosh(x) + 3*exp(-x),2*x**4/3 - 7*x**3/6 + 3*x**2 - 5*x + 4
3*exp(x) + log(x + 1)/3 + 3*cosh(x),x**4/6 + 11*x**3/18 + 17*x**2/6 + 10*x/3 + 6
-x + sin(x)**2/2 + cos(x)**2/3,-x**4/18 + x**2/6 - x + 1/3
exp(x) + sin(2*x) + tan(x),x**4/24 - 5*x**3/6 + x**2/2 + 4*x + 1
-3*cos(x) + cosh(x),-x**4/12 + 2*x**2 - 2
3*x + cos(x)/2,x**4/48 - x**2/4 + 3*x + 1/2
2*x**3 - 3*x**2 + 2*exp(x),x**4/12 + 7*x**3/3 - 2*x**2 + 2*x + 2
sin(x) - 3*sin(2*x) + 3*cosh(x),x**4/8 + 23*x**3/6 + 3*x**2/2 - 5*x + 3
-3*x*cos(x) + 3*sqrt(x + 1),-15*x**4/128 + 27*x**3/16 - 3*x**2/8 - 3*x/2 + 3
3*x*cos(x) - 2*x + sqrt(x + 1) - 2*cosh(x),-47*x**4/384 - 23*x**3/16 - 9*x**2/8 + 3*x/2 - 1
2*x**3 - exp(x) - 3*cosh(x),-x**4/6 + 11*x**3/6 - 2*x**2 - x - 4
cos(2*x)/2 + 3*tan(x),x**4/3 + x**3 - x**2 + 3*x + 1/2
-2*log(x + 1) + 2*tanh(x) + 3*exp(-x),5*x**4/8 - 11*x**3/6 + 5*x**2/2 - 3*x + 3
x**3/2 - 2*sqrt(x + 1) - 2*sin(x),5*x**4/64 + 17*x**3/24 + x**2/4 - 3*x - 2
-2*x*cos(x) - 2*sqrt(x + 1) - 2*cosh(x),-x**4/192 + 7*x**3/8 - 3*x**2/4 - 3*x - 4
x*cos(x)/3 + x - tan(x),-x**3/2 + x/3
x**3/3 + sin(x)/3 + sin(2*x),-19*x**3/18 + 7*x/3
x**3/3 + 3*exp(-x),x**4/8 - x**3/6 + 3*x**2/2 - 3*x + 3
x*sin(x)/2 + sqrt(x + 1) + exp(x)/2 + sin(x)**2,-167*x**4/384 + 7*x**3/48 + 13*x**2/8 + x + 3/2
x*sin(x)/3 - 2*sqrt(x + 1) - exp(x) + 2*tanh(x),-11*x**4/576 - 23*x**3/24 + x**2/12 - 3
x*cos(x)/2 - sin(2*x) + 3*cos(x)**2 + 2*cosh(x),13*x**4/12 + 13*x**3/12 - 2*x**2 - 3*x/2 + 5
3*x**3 - 3*sqrt(x + 1) + 2*cos(x) + 1/(2*(x + 1)),269*x**4/384 + 37*x**3/16 - x**2/8 - 2*x - 1/2
log(x + 1) - 3*sin(x) + cos(2*x)/3,-x**4/36 + 5*x**3/6 - 7*x**2/6 - 2*x + 1/3
3*exp(-x) + 1/(3*(x + 1)),11*x**4/24 - 5*x**3/6 + 11*x**2/6 - 10*x/3 + 10/3
x**3/2 + x*cos(x)/3 - 2*x - 3*exp(-x),-x**4/8 + 5*x**3/6 - 3*x**2/2 + 4*x/3 - 3
-sqrt(x + 1) + sin(x)**2,-113*x**4/384 - x**3/16 + 9*x**2/8 - x/2 - 1
-3*x*sin(x) - 2*sqrt(x + 1) + cos(x)**2,175*x**4/192 - x**3/8 - 15*x**2/4 - x - 1
x + 3*log(x + 1) + cos(x)**2/2 + tan(x)/3,-7*x**4/12 + 10*x**3/9 - 2*x**2 + 13*x/3 + 1/2
-3*x**2 + 2*sin(2*x) - 2*cosh(x),-x**4/12 - 8*x**3/3 - 4*x**2 + 4*x - 2
3*x**3 + 2*x**2 - 3*x*cos(x) + sqrt(x + 1)/3,-5*x**4/384 + 217*x**3/48 + 47*x**2/24 - 17*x/6 + 1/3
x**3 + 2*cos(x) + cosh(x),x**4/8 + x**3 - x**2/2 + 3
sinh(x) + 2*cosh(x),x**4/12 + x**3/6 + x**2 + x + 2
-x**2 + 3*cos(2*x) + 1/(3*(x + 1)),7*x**4/3 - x**3/3 - 20*x**2/3 - x/3 + 10/3
-3*x*cos(x) + 2*sqrt(x + 1) + exp(x),-7*x**4/192 + 43*x**3/24 + x**2/4 - x + 3
exp(x)/3 + cos(x) + 3*tanh(x),x**4/18 - 17*x**3/18 - x**2/3 + 10*x/3 + 4/3
-sin(x)**2 + sin(2*x)/2,x**4/3 - 2*x**3/3 - x**2 + x
2*x**3 + 3*cosh(x) - 3/(x + 1),-23*x**4/8 + 5*x**3 - 3*x**2/2 + 3*x
3*sin(x) + cos(x)/3 - 2*tanh(x),x**4/72 + x**3/6 - x**2/6 + x + 1/3
-x + 2*sin(2*x) + exp(-x)/3,x**4/72 - 49*x**3/18 + x**2/6 + 8*x/3 + 1/3
-3*x**2 + x*sin(x),-x**4/6 - 2*x**2
sin(2*x) - 2*cosh(x) + 3*tanh(x),-x**4/12 - 7*x**3/3 - x**2 + 5*x - 2
x*sin(x)/3 + exp(x)/3 + cosh(x)/2,-x**4/48 + x**3/18 + 3*x**2/4 + x/3 + 5/6
x*cos(x)/2 + 3*sin(2*x) - 2*cos(2*x) - tanh(x),-4*x**4/3 - 47*x**3/12 + 4*x**2 + 11*x/2 - 2
-2*x**3 - x**2 + 3*x*cos(x) - 2*tanh(x),-17*x**3/6 - x**2 + x
-3*sqrt(x + 1) + exp(x)/2 + 3*sin(x),53*x**4/384 - 29*x**3/48 + 5*x**2/8 + 2*x - 5/2
2*sqrt(x + 1) + exp(x) + sin(x)**2 + exp(-x),-21*x**4/64 + x**3/8 + 7*x**2/4 + x + 4
sqrt(x + 1) - 3*cos(2*x) - 2*tan(x) - 3*exp(-x),-277*x**4/128 - 5*x**3/48 + 35*x**2/8 + 3*x/2 - 5
-x - 3*sinh(x) + tanh(x)/2,-2*x**3/3 - 7*x/2
-3*sqrt(x + 1) - 3*cos(x)**2 - exp(-x),-355*x**4/384 - x**3/48 + 23*x**2/8 - x/2 - 7
-2*log(x + 1) - sin(2*x) + exp(-x),13*x**4/24 + x**3/2 + 3*x**2/2 - 5*x + 1
x**3 - cos(x)**2 + cos(x)/3,-23*x**4/72 + x**3 + 5*x**2/6 - 2/3
x**3/2 + 2*sin(x) + 3*exp(-x),x**4/8 - x**3/3 + 3*x**2/2 - x + 3
-x*cos(x) + x + 2*sin(x) + 2*tanh(x),-x**3/2 + 4*x
-2*x*cos(x) + 3*sin(2*x) + cosh(x)/3,x**4/72 - 3*x**3 + x**2/6 + 4*x + 1/3
-2*sin(x) - sin(2*x) - 3*cosh(x),-x**4/8 + 5*x**3/3 - 3*x**2/2 - 4*x - 3
-2*exp(x) + 2*sin(2*x) + tanh(x)/2,-x**4/12 - 19*x**3/6 - x**2 + 5*x/2 - 2
3*exp(x) + tanh(x) - 3*exp(-x),2*x**3/3 + 7*x
2*sqrt(x + 1) + sin(x)**2/2 + 2*tanh(x),-47*x**4/192 - 13*x**3/24 + x**2/4 + 3*x + 2
-2*x*sin(x) - 3*tan(x) - 3*sinh(x),x**4/3 - 3*x**3/2 - 2*x**2 - 6*x
x**2/3 + sinh(x)/3 + 2*cosh(x),x**4/12 + x**3/18 + 4*x**2/3 + x/3 + 2
-x - 2*sqrt(x + 1) - cosh(x),7*x**4/192 - x**3/8 - x**2/4 - 2*x - 3
-2*sin(x) + 2*sin(2*x) - 3*cos(x),-x**4/8 - 7*x**3/3 + 3*x**2/2 + 2*x - 3
cos(x)**2 - 3*sinh(x) + tanh(x)/2,x**4/3 - 2*x**3/3 - x**2 - 5*x/2 + 1
3*x*sin(x) + 2*sin(2*x) + 2*cos(x)**2,x**4/6 - 8*x**3/3 + x**2 + 4*x + 2
sqrt(x + 1) + sin(x)**2/3 + cos(x)**2,211*x**4/1152 + x**3/16 - 19*x**2/24 + x/2 + 2
cosh(x)/3 + 3*exp(-x),5*x**4/36 - x**3/2 + 5*x**2/3 - 3*x + 10/3
sin(2*x)/3 + cos(x)/3 - 3*sinh(x) + 2*exp(-x),7*x**4/72 - 23*x**3/18 + 5*x**2/6 - 13*x/3 + 7/3
x**2/3 + 3*sqrt(x + 1) + sin(x)/2,-15*x**4/128 + 5*x**3/48 - x**2/24 + 2*x + 3
-x**2 - exp(x),-x**4/24 - x**3/6 - 3*x**2/2 - x - 1
3*sin(x) - cos(x)**2 - 3*exp(-x),-11*x**4/24 - x**2/2 + 6*x - 4
2*x**2 + 2*exp(x) + sin(x)/2,x**4/12 + x**3/4 + 3*x**2 + 5*x/2 + 2
-3*sinh(x) - 2*cosh(x) - 3*exp(-x) + 1/(x + 1),19*x**4/24 - x**3 - 3*x**2/2 - x - 4
-log(x + 1) + 3*cos(x) + 1/(2*(x + 1)),7*x**4/8 - 5*x**3/6 - x**2/2 - 3*x/2 + 7/2
2*x + sin(x)**2 + cos(x)**2/2 + cosh(x)/2,-7*x**4/48 + 3*x**2/4 + 2*x + 1
2*x**3 + x*cos(x)/3 + cosh(x)/3 - 2*tanh(x),x**4/72 + 5*x**3/2 + x**2/6 - 5*x/3 + 1/3
2*sin(x)**2 - 2*sin(2*x) + 1/(3*(x + 1)),-x**4/3 + 7*x**3/3 + 7*x**2/3 - 13*x/3 + 1/3
sin(x) - 3*cos(2*x) - cosh(x),-49*x**4/24 - x**3/6 + 11*x**2/2 + x - 4
3*x**2 + sin(x)/2 - 3*exp(-x),-x**4/8 + 5*x**3/12 + 3*x**2/2 + 7*x/2 - 3
x*sin(x)/2 - 2*exp(x) - 3*sinh(x),-x**4/6 - 5*x**3/6 - x**2/2 - 5*x - 2
-3*x**2 - 3*exp(x) + cos(x) + 2*sinh(x),-x**4/12 - x**3/6 - 5*x**2 - x - 2
3*x**2 - 2*sin(x) + cos(x)**2 - 3*cos(x),5*x**4/24 + x**3/3 + 7*x**2/2 - 2*x - 2
log(x + 1)/2 - 2*cos(x) + 2*tan(x),-5*x**4/24 + 5*x**3/6 + 3*x**2/4 + 5*x/2 - 2
-2*sqrt(x + 1) + 3*sinh(x) - 2*cosh(x),-x**4/192 + 3*x**3/8 - 3*x**2/4 + 2*x - 4
-x*sin(x) + 3*cos(x) - 3*cos(2*x) - exp(-x),-7*x**4/4 + x**3/6 + 3*x**2 + x - 1
-2*exp(x) - log(x + 1) + 3*sin(x)**2,-5*x**4/6 - 2*x**3/3 + 5*x**2/2 - 3*x - 2
sin(2*x)/3 - 3*tan(x) + sinh(x)/2,-49*x**3/36 - 11*x/6
x**3/2 + x*sin(x) + sin(2*x)/2 + cos(2*x)/2,x**4/6 - x**3/6 + x + 1/2
x/3 + cos(x)**2/3,x**4/9 - x**2/3 + x/3 + 1/3
-3*x**2 + 3*x*cos(x) - 3*cos(x)**2,-x**4 - 3*x**3/2 + 3*x - 3
cos(x)**2 + 3*cos(x) - tanh(x),11*x**4/24 + x**3/3 - 5*x**2/2 - x + 4
-2*x*cos(x) - sqrt(x + 1) + sin(2*x)/3 - sinh(x),5*x**4/128 + 47*x**3/144 + x**2/8 - 17*x/6 - 1
3*x**2 + 3*exp(x) - 2*sin(x)**2,19*x**4/24 + x**3/2 + 5*x**2/2 + 3*x + 3
-3*x**3 + sin(x)**2 - 2*cos(x)**2 - cosh(x),-25*x**4/24 - 3*x**3 + 5*x**2/2 - 3
-3*x*sin(x) + 3*x*cos(x) + cos(x)**2/3 - 2*tan(x),11*x**4/18 - 13*x**3/6 - 10*x**2/3 + x + 1/3
-3*x**2 + cos(x)/2 + exp(-x)/2,x**4/24 - x**3/12 - 3*x**2 - x/2 + 1
x/3 + 3*sqrt(x + 1) - log(x + 1) + cos(x)**2/3,281*x**4/1152 - 7*x**3/48 - 5*x**2/24 + 5*x/6 + 10/3
2*x + exp(x)/3 + sin(x) - 3*cos(x)**2,-71*x**4/72 - x**3/9 + 19*x**2/6 + 10*x/3 - 8/3
2*x + 2*sqrt(x + 1) + 3*log(x + 1),-53*x**4/64 + 9*x**3/8 - 7*x**2/4 + 6*x + 2
x/2 - 3*log(x + 1) + 2*cos(x)**2,17*x**4/12 - x**3 - x**2/2 - 5*x/2 + 2
-2*sqrt(x + 1) + exp(-x)/3,53*x**4/576 - 13*x**3/72 + 5*x**2/12 - 4*x/3 - 5/3
x**3 + x*sin(x) - cos(x) - 3*tan(x),-5*x**4/24 + 3*x**2/2 - 3*x - 1
x*sin(x)/3 + 2*sqrt(x + 1) + cos(x)/3,-23*x**4/192 + x**3/8 - x**2/12 + x + 7/3
2*sqrt(x + 1) + 2*log(x + 1) - 2*cos(x),-127*x**4/192 + 19*x**3/24 - x**2/4 + 3*x
-x - 3*sqrt(x + 1) + 3*cos(x),31*x**4/128 - 3*x**3/16 - 9*x**2/8 - 5*x/2
3*log(x + 1) + sin(x)/3,-3*x**4/4 + 17*x**3/18 - 3*x**2/2 + 10*x/3
x**2/2 + sqrt(x + 1)/2 - log(x + 1) + sinh(x)/2,59*x**4/256 - 7*x**3/32 + 15*x**2/16 - x/4 + 1/2
log(x + 1)/2 - sin(x) - 2*cos(x)**2 - 2*tanh(x),-19*x**4/24 + x**3 + 7*x**2/4 - 5*x/2 - 2
x*sin(x)/3 + x*cos(x)/2,-x**4/18 - x**3/4 + x**2/3 + x/2
x - 2*log(x + 1) - sin(2*x),x**4/2 + 2*x**3/3 + x**2 - 3*x
x/3 - 2*cos(2*x),-4*x**4/3 + 4*x**2 + x/3 - 2
-x**3 + 3*x*cos(x) + 2/(x + 1),2*x**4 - 9*x**3/2 + 2*x**2 + x + 2
2*x - 3*cos(x) - 3*tanh(x),-x**4/8 + x**3 + 3*x**2/2 - x - 3
-3*exp(x) + 3*sin(x) + 3*cos(x) - tan(x),-4*x**3/3 - 3*x**2 - x
x**2/3 + 3*cos(2*x) - 2*exp(-x),23*x**4/12 + x**3/3 - 20*x**2/3 + 2*x + 1
-2*sin(2*x) - 3*tan(x) - 2*exp(-x),-x**4/12 + 2*x**3 - x**2 - 5*x - 2
x**2/2 + x*sin(x)/2 + 3*cos(x),x**4/24 - x**2/2 + 3
-3*cos(x)**2 + cos(2*x)/2,-2*x**4/3 + 2*x**2 - 5/2
-3*x**3 + 3*cos(x)**2 + 2*cos(x),13*x**4/12 - 3*x**3 - 4*x**2 + 5
x**3/2 + 2*x**2 - sin(x)**2 + cos(x)**2,2*x**4/3 + x**3/2 + 1
-sin(x)**2 - cos(2*x) + 3/(x + 1),8*x**4/3 - 3*x**3 + 4*x**2 - 3*x + 2
-3*cos(2*x) + tanh(x)/2,-2*x**4 - x**3/6 + 6*x**2 + x/2 - 3
-3*x**2 + 3*x + sqrt(x + 1)/2,-5*x**4/256 + x**3/32 - 49*x**2/16 + 13*x/4 + 1/2
3*sqrt(x + 1) - sin(2*x) + tanh(x),-15*x**4/128 + 19*x**3/16 - 3*x**2/8 + x/2 + 3
2*x + 2*cos(x)**2 + 1/(3*(x + 1)),x**4 - x**3/3 - 5*x**2/3 + 5*x/3 + 7/3
x*sin(x)/3 - 2*x*cos(x) + exp(x)/3 + 3*sin(x),-x**4/24 + 5*x**3/9 + x**2/2 + 4*x/3 + 1/3
-2*x**2 - 3*x + 2/(x + 1),2*x**4 - 2*x**3 - 5*x + 2
-2*x + cos(x)**2/3 + cosh(x)/3,x**4/8 - x**2/6 - 2*x + 2/3
x/2 + sqrt(x + 1) - 3*sin(2*x),-5*x**4/128 + 65*x**3/16 - x**2/8 - 5*x + 1
2*sin(x) + cosh(x) - 2*tanh(x),x**4/24 + x**3/3 + x**2/2 + 1
x**2/2 - 3*x + log(x + 1)/3,-x**4/12 + x**3/9 + x**2/3 - 8*x/3
sin(x)/3 - 2*cos(2*x) + 3*cosh(x) - 2*tanh(x),-29*x**4/24 + 11*x**3/18 + 11*x**2/2 - 5*x/3 + 1
-2*x*cos(x) + 3*x - exp(-x),-x**4/24 + 7*x**3/6 - x**2/2 + 2*x - 1
log(x + 1)/3 + 2*sin(x)**2 + cos(x)**2,-5*x**4/12 + x**3/9 + 5*x**2/6 + x/3 + 1
sin(x)**2/3 - tan(x) + sinh(x)/3 + cosh(x),-5*x**4/72 - 5*x**3/18 + 5*x**2/6 - 2*x/3 + 1
3*x*cos(x) + 3*exp(x) + cosh(x),x**4/6 - x**3 + 2*x**2 + 6*x + 4
2*x**3 + 3*sin(x)**2 + cos(x)/3,-71*x**4/72 + 2*x**3 + 17*x**2/6 + 1/3
sqrt(x + 1) + sin(x)**2/2 - cos(x)**2 + 2*sinh(x),-69*x**4/128 + 19*x**3/48 + 11*x**2/8 + 5*x/2
x**3 + log(x + 1)/3 + 3*sinh(x),-x**4/12 + 29*x**3/18 - x**2/6 + 10*x/3
-3*x**2 - 3*exp(x) + 3*cosh(x),-x**3/2 - 3*x**2 - 3*x
2*x**2 - sqrt(x + 1) + cos(2*x)/2 + tanh(x)/3,143*x**4/384 - 25*x**3/144 + 9*x**2/8 - x/6 - 1/2
sin(x)**2/3 + cos(x)**2/2 + cos(x)/3 + cos(2*x),53*x**4/72 - 7*x**2/3 + 11/6
x**3 + x*cos(x)/2,3*x**3/4 + x/2
log(x + 1)/2 - 3*sin(2*x) + 3*cos(2*x) + 1/(3*(x + 1)),53*x**4/24 + 23*x**3/6 - 71*x**2/12 - 35*x/6 + 10/3
x**3/3 - 2*x**2 - 2*exp(x) - 3*sin(x)**2,11*x**4/12 - 6*x**2 - 2*x - 2
-2*x**2 - 2*cos(x) + sinh(x),-x**4/12 + x**3/6 - x**2 + x - 2
x + sqrt(x + 1)/2 + 2*cos(2*x) + sinh(x),1009*x**4/768 + 19*x**3/96 - 65*x**2/16 + 9*x/4 + 5/2
-2*x*sin(x) - sin(x) - cos(x)**2,x**3/6 - x**2 - x - 1
x*cos(x) + cos(x)**2 - cos(x) - cos(2*x),-3*x**4/8 - x**3/2 + 3*x**2/2 + x - 1
-2*x**3 - log(x + 1) + 1/(2*(x + 1)),3*x**4/4 - 17*x**3/6 + x**2 - 3*x/2 + 1/2
3*cos(x)**2 + cos(x)/3 - 3*exp(-x),8*x**4/9 + x**3/2 - 14*x**2/3 + 3*x + 1/3
3*exp(x) + log(x + 1)/3 + 3*sin(x)**2,-23*x**4/24 + 11*x**3/18 + 13*x**2/3 + 10*x/3 + 3
2*x**2 + exp(x) + 3*log(x + 1),-17*x**4/24 + 7*x**3/6 + x**2 + 4*x + 1
-x + 2*sin(x) + 3*cos(x) + 2*tan(x),x**4/8 + x**3/3 - 3*x**2/2 + 3*x + 3
3*cosh(x) - 2*tanh(x) + exp(-x)/2,7*x**4/48 + 7*x**3/12 + 7*x**2/4 - 5*x/2 + 7/2
-2*tan(x) + 2*sinh(x) + exp(-x)/2,x**4/48 - 5*x**3/12 + x**2/4 - x/2 + 1/2
2*exp(x) + 2*tan(x) + exp(-x),x**4/8 + 5*x**3/6 + 3*x**2/2 + 3*x + 3
3*sqrt(x + 1) - 2*exp(x) + 3*sin(x)**2 + cos(x),-445*x**4/384 - 7*x**3/48 + 9*x**2/8 - x/2 + 2
3*sqrt(x + 1) - sin(x)**2 - 3*cos(2*x),-685*x**4/384 + 3*x**3/16 + 37*x**2/8 + 3*x/2
3*log(x + 1) + sin(x)**2/3 + 2*tan(x),-31*x**4/36 + 5*x**3/3 - 7*x**2/6 + 5*x
-sin(x)**2 - exp(-x) + 1/(3*(x + 1)),5*x**4/8 - x**3/6 - 7*x**2/6 + 2*x/3 - 2/3
x*sin(x)/2 - 2*tan(x),-x**4/12 - 2*x**3/3 + x**2/2 - 2*x
2*x**3 + cosh(x)/2 + tanh(x)/2,x**4/48 + 11*x**3/6 + x**2/4 + x/2 + 1/2
2*x**3 + 3*cos(x)**2 + sinh(x),x**4 + 13*x**3/6 - 3*x**2 + x + 3
-2*x**2 + log(x + 1)/3 - sin(x) + tan(x)/3,-x**4/12 + 7*x**3/18 - 13*x**2/6 - x/3
-2*sqrt(x + 1) - 3*exp(x) - 2*sin(2*x),-3*x**4/64 + 49*x**3/24 - 5*x**2/4 - 8*x - 5
-cos(x)**2 + sinh(x),-x**4/3 + x**3/6 + x**2 + x - 1
2*x**2 + x/2 + cos(x)**2,x**4/3 + x**2 + x/2 + 1
x/2 + sqrt(x + 1) + sin(x)**2 + 2*tanh(x),-143*x**4/384 - 29*x**3/48 + 7*x**2/8 + 3*x + 1
-3*x**3 - 2*exp(x),-x**4/12 - 10*x**3/3 - x**2 - 2*x - 2
exp(x)/2 + sin(2*x)/2 - 2*cos(x) + 3*tan(x),-x**4/16 + 5*x**3/12 + 5*x**2/4 + 9*x/2 - 3/2
-3*x*sin(x) + 2*x - 2*cosh(x),5*x**4/12 - 4*x**2 + 2*x - 2
x**3/3 - sin(x) - 2*cos(x),-x**4/12 + x**3/2 + x**2 - x - 2
2*sin(x)**2 - sin(2*x) + cos(x)/3,-47*x**4/72 + 4*x**3/3 + 11*x**2/6 - 2*x + 1/3
x**3/3 + 2*cos(x)**2 + cos(x)/2 - sinh(x),11*x**4/16 + x**3/6 - 9*x**2/4 - x + 5/2
-3*x*sin(x) - 3*sqrt(x + 1) - 3*exp(x) + 1/(x + 1),191*x**4/128 - 27*x**3/16 - 25*x**2/8 - 11*x/2 - 5
sin(x) + 3*cos(2*x) + sinh(x)/2 + exp(-x)/2,97*x**4/48 - x**3/6 - 23*x**2/4 + x + 7/2
sin(x)**2 + sin(2*x)/2 + cosh(x),-7*x**4/24 - 2*x**3/3 + 3*x**2/2 + x + 1
x**2 - sinh(x) + tanh(x)/2,-x**3/3 + x**2 - x/2
x*sin(x)/2 + 3*sin(x) + tanh(x)/3,-x**4/12 - 11*x**3/18 + x**2/2 + 10*x/3
2*x*sin(x) - 3*x*cos(x) + 2*sqrt(x + 1) + 3*log(x + 1),-223*x**4/192 + 21*x**3/8 + x**2/4 + x + 2
sin(x)**2/3 - cosh(x) + 1/(2*(x + 1)),25*x**4/72 - x**3/2 + x**2/3 - x/2 - 1/2
-3*cos(x)**2 + cos(2*x),-x**4/3 + x**2 - 2
-3*cos(2*x) + cosh(x)/3,-143*x**4/72 + 37*x**2/6 - 8/3
2*x**2 + 3*x*cos(x),-3*x**3/2 + 2*x**2 + 3*x
-2*x**2 - x*cos(x) + 2*tan(x),7*x**3/6 - 2*x**2 + x
-x*cos(x) - 3*cos(x)**2 - 2*exp(-x),-13*x**4/12 + 5*x**3/6 + 2*x**2 + x - 5
x*cos(x)/2 + exp(x) - sinh(x),x**4/24 - x**3/4 + x**2/2 + x/2 + 1
2*exp(x) - 2*cos(2*x) + tanh(x)/3 - 2/(x + 1),-13*x**4/4 + 20*x**3/9 + 3*x**2 + 13*x/3 - 2
-3*sin(x)**2 - sinh(x) - cosh(x),23*x**4/24 - x**3/6 - 7*x**2/2 - x - 1
sqrt(x + 1) + 3*log(x + 1) - sin(x) + 2*exp(-x),-271*x**4/384 + 43*x**3/48 - 5*x**2/8 + x/2 + 3
3*cos(x) + 1/(3*(x + 1)),11*x**4/24 - x**3/3 - 7*x**2/6 - x/3 + 10/3
-3*x**2 + sin(x)**2 + cos(x)**2 - 2*tan(x),-2*x**3/3 - 3*x**2 - 2*x + 1
-sqrt(x + 1) + log(x + 1) - 3*cos(2*x),-283*x**4/128 + 13*x**3/48 + 45*x**2/8 + x/2 - 4
x*sin(x)/3 - cos(x),-7*x**4/72 + 5*x**2/6 - 1
x**2/3 + 2*exp(x) - 3*tan(x) + 3*tanh(x),x**4/12 - 5*x**3/3 + 4*x**2/3 + 2*x + 2
-2*x**2 + 2*exp(x) + 1/(2*(x + 1)),7*x**4/12 - x**3/6 - x**2/2 + 3*x/2 + 5/2
-3*sqrt(x + 1) + cos(x)/2 - 2/(x + 1),-715*x**4/384 + 29*x**3/16 - 15*x**2/8 + x/2 - 9/2
x/3 - 2*exp(-x),-x**4/12 + x**3/3 - x**2 + 7*x/3 - 2
x**3/2 + sqrt(x + 1)/3 + cos(x)/3,x**4/1152 + 25*x**3/48 - 5*x**2/24 + x/6 + 2/3
3*cos(x)**2 - 2*tan(x),x**4 - 2*x**3/3 - 3*x**2 - 2*x + 3
exp(x) + sinh(x)/3,x**4/24 + 2*x**3/9 + x**2/2 + 4*x/3 + 1
3*x + exp(x)/2 - cos(x),-x**4/48 + x**3/12 + 3*x**2/4 + 7*x/2 - 1/2
-2*x**2 + log(x + 1)/2 + tanh(x),-x**4/8 - x**3/6 - 9*x**2/4 + 3*x/2
-2*x**3 - 2*sin(2*x) - 3*cosh(x),-x**4/8 + 2*x**3/3 - 3*x**2/2 - 4*x - 3
